date,dayofyear,timeofday,temp,dew,humidity,winddir,windspeed,pressure,cloudcover,Solar Power Output
2022-01-29 00:00:00,29,0,26.1,24.1,88.8,60.0,11.2,1011.0,50.0,0.0
2022-01-29 00:15:00,29,900,26.1,24.1,88.8,57.5,10.3,1011.0,50.0,0.0
2022-01-29 00:30:00,29,1800,26.1,24.1,88.8,55.0,9.4,1011.0,50.0,0.0
2022-01-29 00:45:00,29,2700,26.1,24.1,88.8,52.5,8.5,1011.0,50.0,0.0
2022-01-29 01:00:00,29,3600,26.1,24.1,88.8,50.0,7.6,1011.0,50.0,0.0
2022-01-29 01:15:00,29,4500,26.025,23.725,87.2,45.0,5.725,1010.575,47.2,0.0
2022-01-29 01:30:00,29,5400,25.95,23.35,85.6,40.0,3.85,1010.15,44.4,0.0
2022-01-29 01:45:00,29,6300,25.875,22.975,84.0,35.0,1.975,1009.725,41.6,0.0
2022-01-29 02:00:00,29,7200,25.8,22.6,82.4,30.0,0.1,1009.3,38.8,0.0
2022-01-29 02:15:00,29,8100,25.375,22.975,86.8,32.5,2.425,1009.225,36.6,0.0
2022-01-29 02:30:00,29,9000,24.95,23.35,91.2,35.0,4.75,1009.15,34.4,0.0
2022-01-29 02:45:00,29,9900,24.525,23.725,95.6,37.5,7.075,1009.075,32.2,0.0
2022-01-29 03:00:00,29,10800,24.1,24.1,100.0,40.0,9.4,1009.0,30.0,0.0
2022-01-29 03:15:00,29,11700,24.1,24.1,100.0,35.0,9.85,1009.0,32.25,0.0
2022-01-29 03:30:00,29,12600,24.1,24.1,100.0,30.0,10.3,1009.0,34.5,0.0
2022-01-29 03:45:00,29,13500,24.1,24.1,100.0,25.0,10.75,1009.0,36.75,0.0
2022-01-29 04:00:00,29,14400,24.1,24.1,100.0,20.0,11.2,1009.0,39.0,0.0
2022-01-29 04:15:00,29,15300,23.85,23.85,100.0,22.5,10.75,1009.0,30.85,0.0
2022-01-29 04:30:00,29,16200,23.6,23.6,100.0,25.0,10.3,1009.0,22.7,0.0
2022-01-29 04:45:00,29,17100,23.35,23.35,100.0,27.5,9.85,1009.0,14.55,0.0
2022-01-29 05:00:00,29,18000,23.1,23.1,100.0,30.0,9.4,1009.0,6.4,0.0
2022-01-29 05:15:00,29,18900,23.1,23.1,100.0,30.0,9.4,1009.25,6.775,0.0
2022-01-29 05:30:00,29,19800,23.1,23.1,100.0,30.0,9.4,1009.5,7.15,0.0
2022-01-29 05:45:00,29,20700,23.1,23.1,100.0,30.0,9.4,1009.75,7.525,0.0
2022-01-29 06:00:00,29,21600,23.1,23.1,100.0,30.0,9.4,1010.0,7.9,0.0
2022-01-29 06:15:00,29,22500,23.1,23.1,100.0,32.5,9.4,1010.0,13.425,-0.002478582202
2022-01-29 06:30:00,29,23400,23.1,23.1,100.0,35.0,9.4,1010.0,18.95,38.096233017199
2022-01-29 06:45:00,29,24300,23.1,23.1,100.0,37.5,9.4,1010.0,24.475,156.121889750163
2022-01-29 07:00:00,29,25200,23.1,23.1,100.0,40.0,9.4,1010.0,30.0,320.80229695638
2022-01-29 07:15:00,29,26100,23.35,23.35,100.0,45.0,8.95,1010.5,30.0,702.517557779948
2022-01-29 07:30:00,29,27000,23.6,23.6,100.0,50.0,8.5,1011.0,30.0,1034.48283386231
2022-01-29 07:45:00,29,27900,23.85,23.85,100.0,55.0,8.05,1011.5,30.0,1393.23221842448
2022-01-29 08:00:00,29,28800,24.1,24.1,100.0,60.0,7.6,1012.0,30.0,1704.220703125
2022-01-29 08:15:00,29,29700,24.85,24.35,97.2,60.0,8.95,1012.0,30.0,2037.51204427083
2022-01-29 08:30:00,29,30600,25.6,24.6,94.4,60.0,10.3,1012.0,30.0,2302.53499348958
2022-01-29 08:45:00,29,31500,26.35,24.85,91.6,60.0,11.65,1012.0,30.0,2635.14282226563
2022-01-29 09:00:00,29,32400,27.1,25.1,88.8,60.0,13.0,1012.0,30.0,3076.67903645833
2022-01-29 09:15:00,29,33300,27.35,25.1,87.55,65.0,13.0,1012.25,45.0,3375.70239257813
2022-01-29 09:30:00,29,34200,27.6,25.1,86.3,70.0,13.0,1012.5,60.0,3703.98665364583
2022-01-29 09:45:00,29,35100,27.85,25.1,85.05,75.0,13.0,1012.75,75.0,1328.64769442993
2022-01-29 10:00:00,29,36000,28.1,25.1,83.8,80.0,13.0,1013.0,90.0,2762.49878103888
2022-01-29 10:15:00,29,36900,28.85,24.85,79.45,72.5,13.9,1013.0,80.0,4093.2373046875
2022-01-29 10:30:00,29,37800,29.6,24.6,75.1,65.0,14.8,1013.0,70.0,4611.38753255208
2022-01-29 10:45:00,29,38700,30.35,24.35,70.75,57.5,15.7,1013.0,60.0,2295.80063883464
2022-01-29 11:00:00,29,39600,31.1,24.1,66.4,50.0,16.6,1013.0,50.0,1030.17184146424
2022-01-29 11:15:00,29,40500,31.1,23.85,65.425,50.0,16.15,1012.75,50.0,-0.001836169977
2022-01-29 11:30:00,29,41400,31.1,23.6,64.45,50.0,15.7,1012.5,50.0,1113.28303604329
2022-01-29 11:45:00,29,42300,31.1,23.35,63.475,50.0,15.25,1012.25,50.0,1017.53439889693
2022-01-29 12:00:00,29,43200,31.1,23.1,62.5,50.0,14.8,1012.0,50.0,1527.51307700338
2022-01-29 12:15:00,29,44100,31.35,23.1,61.65,57.5,14.35,1011.75,50.0,2370.35031471227
2022-01-29 12:30:00,29,45000,31.6,23.1,60.8,65.0,13.9,1011.5,50.0,-0.001394654721
2022-01-29 12:45:00,29,45900,31.85,23.1,59.95,72.5,13.45,1011.25,50.0,301.214874354308
2022-01-29 13:00:00,29,46800,32.1,23.1,59.1,80.0,13.0,1011.0,50.0,1052.16172281901
2022-01-29 13:15:00,29,47700,32.1,23.6,60.975,145.0,11.65,1010.75,60.0,525.558680167305
2022-01-29 13:30:00,29,48600,32.1,24.1,62.85,210.0,10.3,1010.5,70.0,1469.79473576078
2022-01-29 13:45:00,29,49500,32.1,24.6,64.725,275.0,8.95,1010.25,80.0,1488.55630820737
2022-01-29 14:00:00,29,50400,32.1,25.1,66.6,340.0,7.6,1010.0,90.0,1423.6181188062
2022-01-29 14:15:00,29,51300,31.85,25.1,67.575,317.975,8.05,1009.5,80.0,4073.68725585938
2022-01-29 14:30:00,29,52200,31.6,25.1,68.55,295.95,8.5,1009.0,70.0,3841.97615559896
